"","X1","N_REMESSA","REGIAO","UF-MINICIPIO","AREA_ha","R$ ADICIONAL","R$ SINISTRO","R$_RISCO","N_SICOR","N_SICOR_VARIEDADE","TP_CULTURA","ZARC","CESTA_PROD","MESINI_PLANTIO","ANOINI_PLANTIO","MESFIM_PLANTIO","ANOFIM_PLANTIO","MESINI_COLHEITA","ANOINI_COLHEITA","MESFIM_COLHEITA","ANOFIM_COLHEITA","N_EVENTO","MESINI_EVENTO","ANOINI_EVENTO","MESFIM_EVENTO","ANOFIM_EVENTO","MESCOP","ANOCOP","Z","Latitude","Longitude"
"1",280,"PROAGRO_MAIS","SUL","AGUA SANTA",16,484.5,17766.89,24224.8,"TRIGO","N?O SE APLICA","DEMAIS CULTURAS","ZARC","Safra de Inverno (3? Safra)",6,2014,6,2014,11,2014,11,2014,"CHUVA EXCESSIVA",9,2014,10,2014,10,2014,0.733417406954856,-28.17,-52.03
"2",578,"PROAGRO_MAIS","SUL","AGUA SANTA",15,319.91,9076.73,15995.7,"TRIGO","N?O SE APLICA","DEMAIS CULTURAS","ZARC","Safra de Inverno (3? Safra)",6,2014,6,2014,11,2014,11,2014,"CHUVA EXCESSIVA",9,2014,9,2014,11,2014,0.567448126684046,-28.17,-52.03
"3",1454,"PROAGRO_MAIS","SUL","AGUDO",4.6,147.84,1774.09,7392.07,"MILHO","VERDE","OLERICULTURA","ZARC","Irrigadas",9,2014,11,2014,2,2015,6,2015,"GRANIZO",12,2014,12,2014,12,2014,0.239999080095291,-29.64,-53.24
"4",1603,"PROAGRO_MAIS","SUL","AGUDO",8,235.44,354.04,23543.68,"ARROZ","N?O SE APLICA","DEMAIS CULTURAS","ZARC","Irrigadas",9,2014,9,2014,3,2015,3,2015,"CHUVA EXCESSIVA",2,2015,2,2015,3,2015,0.0150375812107538,-29.64,-53.24
"5",10,"PROAGRO_MAIS","SUL","AJURICABA",32,1356.29,58102.77,67814.4,"MILHO","VERDE","OLERICULTURA","ZARC","Irrigadas",9,2014,9,2014,10,2014,4,2015,"SECA?????????????????????????????????????????",11,2014,12,2014,1,2015,0.856791035532276,-28.23,-53.77
"6",18,"PROAGRO_MAIS","SUL","AJURICABA",30,1266,52415.96,63300,"MILHO","VERDE","OLERICULTURA","ZARC","Irrigadas",9,2014,9,2014,10,2014,4,2015,"SECA?????????????????????????????????????????",11,2014,12,2014,12,2014,0.828056240126382,-28.23,-53.77
"7",34,"PROAGRO_MAIS","SUL","AJURICABA",25,995,43582.97,49750,"MILHO","VERDE","OLERICULTURA","ZARC","Irrigadas",9,2014,9,2014,10,2014,4,2015,"SECA?????????????????????????????????????????",11,2014,12,2014,12,2014,0.87603959798995,-28.23,-53.77
"8",38,"PROAGRO_MAIS","SUL","AJURICABA",21,933.84,42628.91,46691.85,"MILHO","VERDE","OLERICULTURA","ZARC","Irrigadas",9,2014,9,2014,10,2014,4,2015,"SECA?????????????????????????????????????????",11,2014,12,2014,12,2014,0.912983957585746,-28.23,-53.77
"9",42,"PROAGRO_MAIS","SUL","AJURICABA",30,1004.07,41909.07,50203.6,"MILHO","VERDE","OLERICULTURA","ZARC","Irrigadas",9,2014,9,2014,1,2015,2,2015,"SECA?????????????????????????????????????????",11,2014,12,2014,12,2014,0.834782167015911,-28.23,-53.77
"10",53,"PROAGRO_MAIS","SUL","AJURICABA",25,995,38594.57,49750,"MILHO","VERDE","OLERICULTURA","ZARC","Irrigadas",9,2014,9,2014,10,2014,4,2015,"SECA?????????????????????????????????????????",11,2014,12,2014,12,2014,0.775770251256281,-28.23,-53.77
"11",58,"PROAGRO_MAIS","SUL","AJURICABA",35,890.08,37482.92,44503.9,"TRIGO","N?O SE APLICA","DEMAIS CULTURAS","ZARC","Safra de Inverno (3? Safra)",6,2014,7,2014,10,2014,11,2014,"CHUVA EXCESSIVA",9,2014,10,2014,10,2014,0.842238994784727,-28.23,-53.77
"12",70,"PROAGRO_MAIS","SUL","AJURICABA",17,821.4,35229.35,41070,"MILHO","VERDE","OLERICULTURA","ZARC","Irrigadas",9,2014,10,2014,10,2014,4,2015,"SECA?????????????????????????????????????????",11,2014,12,2014,12,2014,0.857787923058193,-28.23,-53.77
"13",79,"PROAGRO_MAIS","SUL","AJURICABA",18,779.38,33965.58,38969.06,"MILHO","VERDE","OLERICULTURA","ZARC","Irrigadas",9,2014,9,2014,10,2014,4,2015,"SECA?????????????????????????????????????????",11,2014,12,2014,12,2014,0.87160378002446,-28.23,-53.77
"14",98,"PROAGRO_MAIS","SUL","AJURICABA",15,697.68,30106.03,34884,"MILHO","VERDE","OLERICULTURA","ZARC","Irrigadas",9,2014,9,2014,10,2014,4,2015,"SECA?????????????????????????????????????????",11,2014,12,2014,12,2014,0.863032622405687,-28.23,-53.77
"15",119,"PROAGRO_MAIS","SUL","AJURICABA",15,697.68,28250.06,34884,"MILHO","VERDE","OLERICULTURA","ZARC","Irrigadas",8,2014,8,2014,10,2014,4,2015,"SECA?????????????????????????????????????????",11,2014,12,2014,12,2014,0.809828574704736,-28.23,-53.77
"16",126,"PROAGRO_MAIS","SUL","AJURICABA",13,569.32,27571.21,28466.1,"MILHO","VERDE","OLERICULTURA","ZARC","Irrigadas",9,2014,10,2014,10,2014,4,2015,"SECA?????????????????????????????????????????",11,2014,12,2014,12,2014,0.968562957342242,-28.23,-53.77
"17",141,"PROAGRO_MAIS","SUL","AJURICABA",20,716.05,26074.28,35802.4,"MILHO","VERDE","OLERICULTURA","ZARC","Irrigadas",10,2014,10,2014,1,2015,2,2015,"SECA?????????????????????????????????????????",11,2014,12,2014,12,2014,0.728283020132728,-28.23,-53.77
