,Unnamed: 0,X1,N_REMESSA,REGIAO,UF-MINICIPIO,AREA_ha,R$ ADICIONAL,R$ SINISTRO,R$_RISCO,N_SICOR,N_SICOR_VARIEDADE,TP_CULTURA,ZARC,CESTA_PROD,MESINI_PLANTIO,ANOINI_PLANTIO,MESFIM_PLANTIO,ANOFIM_PLANTIO,MESINI_COLHEITA,ANOINI_COLHEITA,MESFIM_COLHEITA,ANOFIM_COLHEITA,N_EVENTO,MESINI_EVENTO,ANOINI_EVENTO,MESFIM_EVENTO,ANOFIM_EVENTO,MESCOP,ANOCOP,Z,Latitude,Longitude
0,1,280,PROAGRO_MAIS,SUL,AGUA SANTA,16.0,484.5,17766.89,24224.8,TRIGO,N?O SE APLICA,DEMAIS CULTURAS,ZARC,Safra de Inverno (3? Safra),6,2014,6,2014,11,2014,11,2014,CHUVA EXCESSIVA,9,2014,10,2014,10,2014,0.7334174069548559,-28.17,-52.03
1,2,578,PROAGRO_MAIS,SUL,AGUA SANTA,15.0,319.91,9076.73,15995.7,TRIGO,N?O SE APLICA,DEMAIS CULTURAS,ZARC,Safra de Inverno (3? Safra),6,2014,6,2014,11,2014,11,2014,CHUVA EXCESSIVA,9,2014,9,2014,11,2014,0.567448126684046,-28.17,-52.03
2,3,1454,PROAGRO_MAIS,SUL,AGUDO,4.6,147.84,1774.09,7392.07,MILHO,VERDE,OLERICULTURA,ZARC,Irrigadas,9,2014,11,2014,2,2015,6,2015,GRANIZO,12,2014,12,2014,12,2014,0.23999908009529103,-29.64,-53.24
3,4,1603,PROAGRO_MAIS,SUL,AGUDO,8.0,235.44,354.04,23543.68,ARROZ,N?O SE APLICA,DEMAIS CULTURAS,ZARC,Irrigadas,9,2014,9,2014,3,2015,3,2015,CHUVA EXCESSIVA,2,2015,2,2015,3,2015,0.0150375812107538,-29.64,-53.24
4,5,10,PROAGRO_MAIS,SUL,AJURICABA,32.0,1356.29,58102.77,67814.4,MILHO,VERDE,OLERICULTURA,ZARC,Irrigadas,9,2014,9,2014,10,2014,4,2015,SECA,11,2014,12,2014,1,2015,0.8567910355322759,-28.23,-53.77
5,6,18,PROAGRO_MAIS,SUL,AJURICABA,30.0,1266.0,52415.96,63300.0,MILHO,VERDE,OLERICULTURA,ZARC,Irrigadas,9,2014,9,2014,10,2014,4,2015,SECA,11,2014,12,2014,12,2014,0.8280562401263821,-28.23,-53.77
6,7,34,PROAGRO_MAIS,SUL,AJURICABA,25.0,995.0,43582.97,49750.0,MILHO,VERDE,OLERICULTURA,ZARC,Irrigadas,9,2014,9,2014,10,2014,4,2015,SECA,11,2014,12,2014,12,2014,0.8760395979899499,-28.23,-53.77
7,8,38,PROAGRO_MAIS,SUL,AJURICABA,21.0,933.84,42628.91,46691.85,MILHO,VERDE,OLERICULTURA,ZARC,Irrigadas,9,2014,9,2014,10,2014,4,2015,SECA,11,2014,12,2014,12,2014,0.9129839575857459,-28.23,-53.77
8,9,42,PROAGRO_MAIS,SUL,AJURICABA,30.0,1004.07,41909.07,50203.6,MILHO,VERDE,OLERICULTURA,ZARC,Irrigadas,9,2014,9,2014,1,2015,2,2015,SECA,11,2014,12,2014,12,2014,0.8347821670159109,-28.23,-53.77
9,10,53,PROAGRO_MAIS,SUL,AJURICABA,25.0,995.0,38594.57,49750.0,MILHO,VERDE,OLERICULTURA,ZARC,Irrigadas,9,2014,9,2014,10,2014,4,2015,SECA,11,2014,12,2014,12,2014,0.7757702512562809,-28.23,-53.77
